,No.overall,No. inseason,Title,Directed by,Written by,Original air date,Prod.code,U.S. viewers(millions),Season
0,1,1,"""Pilot""",James Burrows,Chuck Lorre & Bill Prady,2007-09-24,276023,9.52,1
1,2,2,"""The Big Bran Hypothesis""",Mark Cendrowski,Story by : Chuck Lorre & Bill PradyTeleplay by : Robert Cohen & Dave Goetsch,2007-10-01,3T6601,8.58,1
2,3,3,"""The Fuzzy Boots Corollary""",Mark Cendrowski,Story by : Chuck LorreTeleplay by : Bill Prady & Steven Molaro,2007-10-08,3T6602,8.36,1
3,4,4,"""The Luminous Fish Effect""",Mark Cendrowski,Story by : Chuck Lorre & Bill PradyTeleplay by : David Litt & Lee Aronsohn,2007-10-15,3T6603,8.15,1
4,5,5,"""The Hamburger Postulate""",Andrew D. Weyman,Story by : Jennifer GlickmanTeleplay by : Dave Goetsch & Steven Molaro,2007-10-22,3T6604,8.81,1
5,6,6,"""The Middle-earth Paradigm""",Mark Cendrowski,Story by : Dave GoetschTeleplay by : David Litt & Robert Cohen,2007-10-29,3T6605,8.92,1
6,7,7,"""The Dumpling Paradox""",Mark Cendrowski,Story by : Chuck Lorre & Bill PradyTeleplay by : Lee Aronsohn & Jennifer Glickman,2007-11-05,3T6606,9.68,1
7,8,8,"""The Grasshopper Experiment""",Ted Wass,Story by : Dave Goetsch & Steven MolaroTeleplay by : Lee Aronsohn & Robert Cohen,2007-11-12,3T6607,9.32,1
8,9,9,"""The Cooper-Hofstadter Polarization""",Joel Murray,Story by : Bill Prady & Stephen EngelTeleplay by : Chuck Lorre & Lee Aronsohn & Dave Goetsch,2008-03-17,3T6608,9.11,1
9,10,10,"""The Loobenfeld Decay""",Mark Cendrowski,Story by : Chuck LorreTeleplay by : Bill Prady & Lee Aronsohn,2008-03-24,3T6609,8.63,1
10,11,11,"""The Pancake Batter Anomaly""",Mark Cendrowski,Story by : Chuck Lorre & Lee AronsohnTeleplay by : Bill Prady & Stephen Engel,2008-03-31,3T6610,8.68,1
11,12,12,"""The Jerusalem Duality""",Mark Cendrowski,Story by : Jennifer Glickman & Stephen EngelTeleplay by : Dave Goetsch & Steven Molaro,2008-04-14,3T6611,7.69,1
12,13,13,"""The Bat Jar Conjecture""",Mark Cendrowski,Story by : Stephen Engel & Jennifer GlickmanTeleplay by : Bill Prady & Robert Cohen,2008-04-21,3T6612,7.51,1
13,14,14,"""The Nerdvana Annihilation""",Mark Cendrowski,Story by : Bill PradyTeleplay by : Stephen Engel & Steven Molaro,2008-04-28,3T6613,8.07,1
14,15,15,"""The Shiksa Indeterminacy""[28]""The Pork Chop Indeterminacy""[29]",Mark Cendrowski,Story by : Chuck LorreTeleplay by : Lee Aronsohn & Bill Prady,2008-05-05,3T6614,7.38,1
15,16,16,"""The Peanut Reaction""",Mark Cendrowski,Story by : Bill Prady & Lee AronsohnTeleplay by : Dave Goetsch & Steven Molaro,2008-05-12,3T6615,7.79,1
16,17,17,"""The Tangerine Factor""",Mark Cendrowski,Story by : Chuck Lorre & Bill PradyTeleplay by : Lee Aronsohn & Steven Molaro,2008-05-19,3T6616,7.34,1
17,18,1,"""The Bad Fish Paradigm""",Mark Cendrowski,Story by : Bill PradyTeleplay by : Dave Goetsch & Steven Molaro,2008-09-22,3T7351,9.36,2
18,19,2,"""The Codpiece Topology""",Mark Cendrowski,Story by : Chuck LorreTeleplay by : Bill Prady & Lee Aronsohn,2008-09-29,3T7352,8.76,2
19,20,3,"""The Barbarian Sublimation""",Mark Cendrowski,Story by : Nicole LorreTeleplay by : Steven Molaro & Eric Kaplan,2008-10-06,3T7353,9.33,2
20,21,4,"""The Griffin Equivalency""",Mark Cendrowski,Story by : Bill Prady & Chuck LorreTeleplay by : Stephen Engel & Tim Doyle,2008-10-13,3T7354,9.36,2
21,22,5,"""The Euclid Alternative""",Mark Cendrowski,Story by : Bill Prady & Steven MolaroTeleplay by : Lee Aronsohn & Dave Goetsch,2008-10-20,3T7355,9.28,2
22,23,6,"""The Cooper–Nowitzki Theorem""",Mark Cendrowski,Story by : Stephen Engel & Daley HaggarTeleplay by : Tim Doyle & Richard Rosenstock,2008-11-03,3T7356,9.67,2
23,24,7,"""The Panty Piñata Polarization""",Mark Cendrowski,Story by : Bill Prady & Tim DoyleTeleplay by : Jennifer Glickman & Steven Molaro,2008-11-10,3T7357,10.0,2
24,25,8,"""The Lizard–Spock Expansion""",Mark Cendrowski,Story by : Bill PradyTeleplay by : Dave Goetsch & Jennifer Glickman,2008-11-17,3T7358,9.76,2
25,26,9,"""The White Asparagus Triangulation""",Mark Cendrowski,Story by : Dave Goetsch & Steven MolaroTeleplay by : Stephen Engel & Richard Rosenstock,2008-11-24,3T7359,10.1,2
26,27,10,"""The Vartabedian Conundrum""",Mark Cendrowski,Story by : Chuck Lorre & Steven MolaroTeleplay by : Bill Prady & Richard Rosenstock,2008-12-08,3T7360,10.8,2
27,28,11,"""The Bath Item Gift Hypothesis""",Mark Cendrowski,Story by : Bill Prady & Richard RosenstockTeleplay by : Stephen Engel & Eric Kaplan,2008-12-15,3T7361,11.4,2
28,29,12,"""The Killer Robot Instability""",Mark Cendrowski,Story by : Bill Prady & Richard RosenstockTeleplay by : Steven Molaro & Daley Haggar,2009-01-12,3T7362,11.8,2
29,30,13,"""The Friendship Algorithm""",Mark Cendrowski,Story by : Bill Prady & Richard RosenstockTeleplay by : Chuck Lorre & Steven Molaro,2009-01-19,3T7363,11.1,2
30,31,14,"""The Financial Permeability""",Mark Cendrowski,Story by : Chuck Lorre & Steven MolaroTeleplay by : Richard Rosenstock & Eric Kaplan,2009-02-02,3T7364,10.8,2
31,32,15,"""The Maternal Capacitance""",Mark Cendrowski,Story by : Chuck Lorre & Bill PradyTeleplay by : Richard Rosenstock & Steven Molaro,2009-02-09,3T7365,13.1,2
32,33,16,"""The Cushion Saturation""",Mark Cendrowski,Story by : Chuck LorreTeleplay by : Bill Prady & Lee Aronsohn,2009-03-02,3T7366,10.9,2
33,34,17,"""The Terminator Decoupling""",Mark Cendrowski,Story by : Bill Prady & Dave GoetschTeleplay by : Tim Doyle & Stephen Engel,2009-03-09,3T7367,9.46,2
34,35,18,"""The Work Song Nanocluster""",Peter Chakos,Story by : Bill Prady & Lee AronsohnTeleplay by : Dave Goetsch & Richard Rosenstock,2009-03-16,3T7368,9.76,2
35,36,19,"""The Dead Hooker Juxtaposition""",Mark Cendrowski,Steven Molaro,2009-03-30,3T7369,9.77,2
36,37,20,"""The Hofstadter Isotope""",Mark Cendrowski,Dave Goetsch,2009-04-13,3T7370,10.1,2
37,38,21,"""The Vegas Renormalization""",Mark Cendrowski,Story by : Jessica Ambrosetti & Nicole Lorre & Andrew RothTeleplay by : Steven Molaro,2009-04-27,3T7371,9.31,2
38,39,22,"""The Classified Materials Turbulence""",Mark Cendrowski,Story by : Chuck Lorre & Lee AronsohnTeleplay by : Bill Prady & Steven Molaro,2009-05-04,3T7373,9.25,2
39,40,23,"""The Monopolar Expedition""",Mark Cendrowski,Eric Kaplan & Richard Rosenstock,2009-05-11,3T7372,9.81,2
40,41,1,"""The Electric Can Opener Fluctuation""",Mark Cendrowski,Steven Molaro,2009-09-21,3X5551,12.9,3
41,42,2,"""The Jiminy Conjecture""",Mark Cendrowski,Jim Reynolds,2009-09-28,3X5552,13.2,3
42,43,3,"""The Gothowitz Deviation""",Mark Cendrowski,Story by : Lee Aronsohn & Richard RosenstockTeleplay by : Bill Prady & Maria Ferrari,2009-10-05,3X5553,12.5,3
43,44,4,"""The Pirate Solution""",Mark Cendrowski,Steve Holland,2009-10-12,3X5554,13.0,3
44,45,5,"""The Creepy Candy Coating Corollary""",Mark Cendrowski,Story by : Chuck Lorre & Bill PradyTeleplay by : Lee Aronsohn & Steven Molaro,2009-10-19,3X5556,13.4,3
45,46,6,"""The Cornhusker Vortex""",Mark Cendrowski,Story by : Bill Prady & Steven MolaroTeleplay by : Dave Goetsch & Richard Rosenstock,2009-11-02,3X5555,12.7,3
46,47,7,"""The Guitarist Amplification""",Mark Cendrowski,Story by : Chuck Lorre & Lee AronsohnTeleplay by : Bill Prady & Richard Rosenstock & Jim Reynolds,2009-11-09,3X5557,12.7,3
47,48,8,"""The Adhesive Duck Deficiency""",Mark Cendrowski,Story by : Chuck Lorre & Bill Prady & Dave GoetschTeleplay by : Steven Molaro & Eric Kaplan & Maria Ferrari,2009-11-16,3X5558,13.2,3
48,49,9,"""The Vengeance Formulation""",Mark Cendrowski,Story by : Chuck Lorre & Maria FerrariTeleplay by : Richard Rosenstock & Jim Reynolds & Steve Holland,2009-11-23,3X5559,14.1,3
49,50,10,"""The Gorilla Experiment""",Mark Cendrowski,Story by : Chuck Lorre & Richard Rosenstock & Steve HollandTeleplay by : Bill Prady & Steven Molaro & Maria Ferrari,2009-12-07,3X5560,14.3,3
50,51,11,"""The Maternal Congruence""",Mark Cendrowski,Story by : Lee Aronsohn & Steven Molaro & Richard Rosenstock & Maria FerrariTeleplay by : Chuck Lorre & Bill Prady & Dave Goetsch,2009-12-14,3X5562,15.5,3
51,52,12,"""The Psychic Vortex""",Mark Cendrowski,Story by : Lee Aronsohn & Steven MolaroTeleplay by : Chuck Lorre & Eric Kaplan & Jim Reynolds,2010-01-11,3X5561,15.8,3
52,53,13,"""The Bozeman Reaction""",Mark Cendrowski,Story by : Bill Prady & Lee Aronsohn & Jim ReynoldsTeleplay by : Chuck Lorre & Steven Molaro & Steve Holland,2010-01-18,3X5563,14.9,3
53,54,14,"""The Einstein Approximation""",Mark Cendrowski,Story by : Lee Aronsohn & Dave Goetsch & Steve HollandTeleplay by : Chuck Lorre & Steven Molaro & Eric Kaplan,2010-02-01,3X5565,15.5,3
54,55,15,"""The Large Hadron Collision""",Mark Cendrowski,Story by : Chuck Lorre & Steven Molaro & Jim ReynoldsTeleplay by : Lee Aronsohn & Richard Rosenstock & Maria Ferrari,2010-02-08,3X5564,16.2,3
55,56,16,"""The Excelsior Acquisition""",Peter Chakos,Story by : Chuck Lorre & Lee Aronsohn & Steven MolaroTeleplay by : Bill Prady & Steve Holland & Maria Ferrari,2010-03-01,3X5566,15.7,3
56,57,17,"""The Precious Fragmentation""",Mark Cendrowski,Story by : Lee Aronsohn & Eric Kaplan & Maria FerrariTeleplay by : Bill Prady & Steven Molaro & Richard Rosenstock,2010-03-08,3X5567,16.3,3
57,58,18,"""The Pants Alternative""",Mark Cendrowski,Story by : Chuck Lorre & Bill Prady & Steve HollandTeleplay by : Eric Kaplan & Richard Rosenstock & Jim Reynolds,2010-03-22,3X5568,13.4,3
58,59,19,"""The Wheaton Recurrence""",Mark Cendrowski,Story by : Chuck Lorre & Steven Molaro & Nicole Lorre & Jessica AmbrosettiTeleplay by : Bill Prady & Dave Goetsch & Jim Reynolds & Maria Ferrari,2010-04-12,3X5569,13.3,3
59,60,20,"""The Spaghetti Catalyst""",Anthony Rich,Chuck Lorre & Bill Prady & Lee Aronsohn & Steven Molaro,2010-05-03,3X5570,11.6,3
60,61,21,"""The Plimpton Stimulation""",Mark Cendrowski,Story by : Chuck Lorre & Bill Prady & Lee AronsohnTeleplay by : Steven Molaro & Jim Reynolds & Maria Ferrari,2010-05-10,3X5571,13.7,3
61,62,22,"""The Staircase Implementation""",Mark Cendrowski,Story by : Lee Aronsohn & Steven Molaro & Steve HollandTeleplay by : Chuck Lorre & Dave Goetsch & Maria Ferrari,2010-05-17,3X5572,15.0,3
62,63,23,"""The Lunar Excitation""",Peter Chakos,Story by : Chuck Lorre & Bill Prady & Maria FerrariTeleplay by : Lee Aronsohn & Steven Molaro & Steve Holland,2010-05-24,3X5573,14.7,3
63,64,1,"""The Robotic Manipulation""",Mark Cendrowski,Story by : Chuck Lorre & Lee Aronsohn & Dave GoetschTeleplay by : Steven Molaro & Eric Kaplan & Steve Holland,2010-09-23,3X6651,14.0,4
64,65,2,"""The Cruciferous Vegetable Amplification""",Mark Cendrowski,Story by : Bill Prady & Lee Aronsohn & Steve HollandTeleplay by : Chuck Lorre & Steven Molaro & Jim Reynolds,2010-09-30,3X6652,13.0,4
65,66,3,"""The Zazzy Substitution""",Mark Cendrowski,Story by : Chuck Lorre & Bill Prady & Jim ReynoldsTeleplay by : Lee Aronsohn & Steven Molaro & Maria Ferrari,2010-10-07,3X6653,12.5,4
66,67,4,"""The Hot Troll Deviation""",Mark Cendrowski,Story by : Chuck Lorre & Steven Molaro & Adam FabermanTeleplay by : Bill Prady & Lee Aronsohn & Maria Ferrari,2010-10-14,3X6654,12.5,4
67,68,5,"""The Desperation Emanation""",Mark Cendrowski,Story by : Bill Prady & Lee Aronsohn & Dave GoetschTeleplay by : Chuck Lorre & Steven Molaro & Steve Holland,2010-10-21,3X6655,13.0,4
68,69,6,"""The Irish Pub Formulation""",Mark Cendrowski,Story by : Chuck Lorre & Lee Aronsohn & Steven MolaroTeleplay by : Bill Prady & Eric Kaplan & Maria Ferrari,2010-10-28,3X6656,13.0,4
69,70,7,"""The Apology Insufficiency""",Mark Cendrowski,Story by : Chuck Lorre & Lee Aronsohn & Maria FerrariTeleplay by : Bill Prady & Steven Molaro & Steve Holland,2010-11-04,3X6657,14.0,4
70,71,8,"""The 21-Second Excitation""",Mark Cendrowski,Story by : Chuck Lorre & Bill Prady & Jim ReynoldsTeleplay by : Lee Aronsohn & Steven Molaro & Steve Holland,2010-11-11,3X6658,13.1,4
71,72,9,"""The Boyfriend Complexity""",Mark Cendrowski,Story by : Chuck Lorre & Lee Aronsohn & Jim ReynoldsTeleplay by : Bill Prady & Steven Molaro & Dave Goetsch,2010-11-18,3X6659,13.0,4
72,73,10,"""The Alien Parasite Hypothesis""",Mark Cendrowski,Story by : Chuck Lorre & Steven Molaro & Steve HollandTeleplay by : Lee Aronsohn & Jim Reynolds & Maria Ferrari,2010-12-09,3X6660,12.0,4
73,74,11,"""The Justice League Recombination""",Mark Cendrowski,Story by : Chuck Lorre & Lee Aronsohn & Maria FerrariTeleplay by : Bill Prady & Steven Molaro & Steve Holland,2010-12-16,3X6661,13.2,4
74,75,12,"""The Bus Pants Utilization""",Mark Cendrowski,Story by : Chuck Lorre & Lee Aronsohn & Maria FerrariTeleplay by : Bill Prady & Steven Molaro & Eric Kaplan,2011-01-06,3X6662,13.9,4
75,76,13,"""The Love Car Displacement""",Anthony Rich,Story by : Chuck Lorre & Bill Prady & Dave GoetschTeleplay by : Lee Aronsohn & Steven Molaro & Steve Holland,2011-01-20,3X6663,13.6,4
76,77,14,"""The Thespian Catalyst""",Mark Cendrowski,Story by : Chuck Lorre & Lee Aronsohn & Jim ReynoldsTeleplay by : Bill Prady & Steven Molaro & Maria Ferrari,2011-02-03,3X6664,13.8,4
77,78,15,"""The Benefactor Factor""",Mark Cendrowski,Story by : Bill Prady & Lee Aronsohn & Dave GoetschTeleplay by : Chuck Lorre & Eric Kaplan & Steve Holland,2011-02-10,3X6665,12.7,4
78,79,16,"""The Cohabitation Formulation""",Mark Cendrowski,Story by : Chuck Lorre & Lee Aronsohn & Dave GoetschTeleplay by : Bill Prady & Steven Molaro & Jim Reynolds,2011-02-17,3X6666,12.4,4
79,80,17,"""The Toast Derivation""",Mark Cendrowski,Story by : Bill Prady & Dave Goetsch & Maria FerrariTeleplay by : Chuck Lorre & Steven Molaro & Jim Reynolds,2011-02-24,3X6667,12.3,4
80,81,18,"""The Prestidigitation Approximation""",Mark Cendrowski,Story by : Bill Prady & Steve Holland & Eddie GorodetskyTeleplay by : Chuck Lorre & Steven Molaro & Eric Kaplan,2011-03-10,3X6668,12.0,4
81,82,19,"""The Zarnecki Incursion""",Peter Chakos,Story by : Chuck Lorre & Steven Molaro & Maria FerrariTeleplay by : Bill Prady & Dave Goetsch & Jim Reynolds,2011-03-31,3X6669,11.9,4
82,83,20,"""The Herb Garden Germination""",Mark Cendrowski,Story by : Chuck Lorre & Eric Kaplan & Eddie GorodetskyTeleplay by : Bill Prady & Steven Molaro & Steve Holland,2011-04-07,3X6670,11.4,4
83,84,21,"""The Agreement Dissection""",Mark Cendrowski,Story by : Bill Prady & Dave Goetsch & Eddie GorodetskyTeleplay by : Chuck Lorre & Steven Molaro & Eric Kaplan,2011-04-28,3X6671,10.7,4
84,85,22,"""The Wildebeest Implementation""",Mark Cendrowski,Story by : Chuck Lorre & Steven Molaro & Eric KaplanTeleplay by : Bill Prady & Eddie Gorodetsky & Maria Ferrari,2011-05-05,3X6672,10.5,4
85,86,23,"""The Engagement Reaction""",Howard Murray,Story by : Bill Prady & Eric Kaplan & Jim ReynoldsTeleplay by : Chuck Lorre & Steven Molaro & Steve Holland,2011-05-12,3X6673,10.7,4
86,87,24,"""The Roommate Transmogrification""",Mark Cendrowski,Story by : Chuck Lorre & Steven Molaro & Eddie GorodetskyTeleplay by : Bill Prady & Eric Kaplan & Jim Reynolds,2011-05-19,3X6674,11.3,4
87,88,1,"""The Skank Reflex Analysis""",Mark Cendrowski,Story by : Eric Kaplan & Maria Ferrari & Anthony Del BroccoloTeleplay by : Chuck Lorre & Bill Prady & Steven Molaro,2011-09-22,3X6851,14.3,5
88,89,2,"""The Infestation Hypothesis""",Mark Cendrowski,Story by : Bill Prady & Steven Molaro & Maria FerrariTeleplay by : Chuck Lorre & Jim Reynolds & Steve Holland,2011-09-22,3X6852,14.9,5
89,90,3,"""The Pulled Groin Extrapolation""",Mark Cendrowski,Story by : Chuck Lorre & Eric Kaplan & Jim ReynoldsTeleplay by : Bill Prady & Steven Molaro & Dave Goetsch,2011-09-29,3X6853,14.7,5
90,91,4,"""The Wiggly Finger Catalyst""",Mark Cendrowski,Story by : Chuck Lorre & Dave Goetsch & Anthony Del BroccoloTeleplay by : Bill Prady & Steven Molaro & Steve Holland,2011-10-06,3X6854,13.9,5
91,92,5,"""The Russian Rocket Reaction""",Mark Cendrowski,Story by : Bill Prady & Steven Molaro & Jim ReynoldsTeleplay by : Chuck Lorre & Eric Kaplan & Maria Ferrari,2011-10-13,3X6855,13.5,5
92,93,6,"""The Rhinitis Revelation""",Howard Murray,Story by : Chuck Lorre & Eric Kaplan & Steve HollandTeleplay by : Bill Prady & Steven Molaro & Jim Reynolds,2011-10-20,3X6857,14.9,5
93,94,7,"""The Good Guy Fluctuation""",Mark Cendrowski,Story by : Chuck Lorre & Dave Goetsch & Maria FerrariTeleplay by : Bill Prady & Steven Molaro & Steve Holland,2011-10-27,3X6856,14.5,5
94,95,8,"""The Isolation Permutation""",Mark Cendrowski,Story by : Chuck Lorre & Eric Kaplan & Tara HernandezTeleplay by : Bill Prady & Steven Molaro & Steve Holland,2011-11-03,3X6858,15.9,5
95,96,9,"""The Ornithophobia Diffusion""",Mark Cendrowski,Story by : Chuck Lorre & Dave Goetsch & Anthony Del BroccoloTeleplay by : Bill Prady & Steven Molaro & Eric Kaplan,2011-11-10,3X6859,15.8,5
96,97,10,"""The Flaming Spittoon Acquisition""",Mark Cendrowski,Story by : Chuck Lorre & Steven Molaro & Dave GoetschTeleplay by : Bill Prady & Jim Reynolds & Steve Holland,2011-11-17,3X6860,15.0,5
97,98,11,"""The Speckerman Recurrence""",Anthony Rich,Story by : Chuck Lorre & Bill Prady & Steve HollandTeleplay by : Steven Molaro & Eric Kaplan & Anthony Del Broccolo,2011-12-08,3X6861,14.0,5
98,99,12,"""The Shiny Trinket Maneuver""",Mark Cendrowski,Story by : Chuck Lorre & Steve Holland & Tara HernandezTeleplay by : Bill Prady & Steven Molaro & Jim Reynolds,2012-01-12,3X6862,16.1,5
99,100,13,"""The Recombination Hypothesis""",Mark Cendrowski,Story by : Chuck LorreTeleplay by : Bill Prady & Steven Molaro,2012-01-19,3X6863,15.8,5
100,101,14,"""The Beta Test Initiation""",Mark Cendrowski,Story by : Chuck Lorre & Steven Molaro & Eric KaplanTeleplay by : Bill Prady & Dave Goetsch & Maria Ferrari,2012-01-26,3X6864,16.1,5
101,102,15,"""The Friendship Contraction""",Mark Cendrowski,Story by : Chuck Lorre & Eric Kaplan & Jim ReynoldsTeleplay by : Bill Prady & Steven Molaro & Steve Holland,2012-02-02,3X6865,16.5,5
